Time, Rain(mm), Latitude, 50.009, Longitude, -119.501,
CCS_1h2025032805, 0.000
CCS_1h2025032806, 0.000
CCS_1h2025032807, 0.000
CCS_1h2025032808, 1.000
CCS_1h2025032809, 5.000
CCS_1h2025032810, 3.000
CCS_1h2025032811, 0.000
CCS_1h2025032812, 0.000
CCS_1h2025032813, 0.000
CCS_1h2025032814, 0.000
CCS_1h2025032815, 0.000
CCS_1h2025032816, 0.000
CCS_1h2025032817, 0.000
CCS_1h2025032818, 29.000
CCS_1h2025032819, 0.000
CCS_1h2025032820, 0.000
CCS_1h2025032821, 0.000
CCS_1h2025032822, 0.000
CCS_1h2025032823, 0.000
CCS_1h2025032900, 0.000
CCS_1h2025032901, 0.000
CCS_1h2025032902, 0.000
CCS_1h2025032903, 0.000
CCS_1h2025032904, 0.000
CCS_1h2025032905, 0.000
CCS_1h2025032906, 0.000
CCS_1h2025032907, 0.000
CCS_1h2025032908, 0.000
CCS_1h2025032909, 0.000
CCS_1h2025032910, 0.000
CCS_1h2025032911, 0.000
CCS_1h2025032912, 0.000
CCS_1h2025032913, 0.000
CCS_1h2025032914, 0.000
CCS_1h2025032915, 0.000
CCS_1h2025032916, 0.000
CCS_1h2025032917, 0.000
CCS_1h2025032918, 0.000
CCS_1h2025032919, 0.000
CCS_1h2025032920, 0.000
CCS_1h2025032921, 0.000
CCS_1h2025032922, 0.000
CCS_1h2025032923, 0.000
CCS_1h2025033000, 0.000
CCS_1h2025033001, 0.000
CCS_1h2025033002, 0.000
CCS_1h2025033003, 0.000
CCS_1h2025033004, 0.000
CCS_1h2025033005, 0.000
CCS_1h2025033006, 0.000
CCS_1h2025033007, 0.000
CCS_1h2025033008, 0.000
CCS_1h2025033009, 0.000
CCS_1h2025033010, 0.000
CCS_1h2025033011, 0.000
CCS_1h2025033012, 0.000
CCS_1h2025033013, 0.000
CCS_1h2025033014, 0.000
CCS_1h2025033015, 0.000
CCS_1h2025033016, 0.000
CCS_1h2025033017, 0.000
CCS_1h2025033018, 0.000
CCS_1h2025033019, 0.000
